,dataset,model,col_to_encode_with_new,features,new_encoder_name,roc_auc,col_to_encode_with_new_no_column,features_no_column,new_encoder_name_no_column,roc_auc_no_column,features_drop,new_encoder_name_drop,roc_auc_drop,dataset_col,gain,gain_percentage,mean_length,cardinality,cardinality_div_by_nrows,mean_word_length,mean_word_length_unique,ngrams,ngrams_div_by_nrows,ngrams_div_by_length,ngarms_div_by_length_and_nrows,prop_shared_ngrams
30,goodreads,GradientBoostingClassifier,Publisher,all,lm__BAAI/bge-large-en-v1.5,0.6560038497518662,no_column,all,openai__,0.6464040210327365,all,drop,0.6477494471354277,goodreads__Publisher,0.009599828719129677,1.4851127788147689,17.238,616,0.616,2.459,2.451,6391,6.391,370.7506671307576,0.3707506671307576,0.007132060710373958
31,goodreads,GradientBoostingClassifier,Publisher,all,openai__,0.6577872152164382,no_column,all,openai__,0.6464040210327365,all,drop,0.6477494471354277,goodreads__Publisher,0.011383194183701706,1.7610029970907646,17.238,616,0.616,2.459,2.451,6391,6.391,370.7506671307576,0.3707506671307576,0.007132060710373958
32,goodreads,GradientBoostingClassifier,Title,all,lm__BAAI/bge-large-en-v1.5,0.6446625049029352,no_column,all,openai__,0.6464040210327365,all,drop,0.6361947822451949,goodreads__Title,-0.0017415161298013349,-0.2694160421556439,47.869,960,0.96,7.126,6.892,15949,15.949,333.18013745848043,0.3331801374584804,0.00862793905574019
33,goodreads,GradientBoostingClassifier,Title,all,openai__,0.6610614371474349,no_column,all,openai__,0.6464040210327365,all,drop,0.6361947822451949,goodreads__Title,0.014657416114698396,2.26753170428624,47.869,960,0.96,7.126,6.892,15949,15.949,333.18013745848043,0.3331801374584804,0.00862793905574019
34,journal_jcr_cls,GradientBoostingClassifier,Category,all,lm__BAAI/bge-large-en-v1.5,0.5918884545417511,no_column,all,openai__,0.5913614387508055,all,drop,0.582597100609566,journal_jcr_cls__Category,0.0005270157909456064,0.08911906600790151,20.405,129,0.129,2.944,2.944,2206,2.206,108.11075716736093,0.10811075716736093,0.02502946509519495
35,journal_jcr_cls,GradientBoostingClassifier,Category,all,openai__,0.5887634845047265,no_column,all,openai__,0.5913614387508055,all,drop,0.582597100609566,journal_jcr_cls__Category,-0.002597954246079004,-0.43931749279542714,20.405,129,0.129,2.944,2.944,2206,2.206,108.11075716736093,0.10811075716736093,0.02502946509519495
36,journal_jcr_cls,GradientBoostingClassifier,name,all,lm__BAAI/bge-large-en-v1.5,0.6329171449299429,no_column,all,openai__,0.5913614387508055,all,drop,0.5666112428974291,journal_jcr_cls__name,0.0415557061791374,7.02712477616394,30.648,1000,1.0,3.736,3.704,8129,8.129,265.23753589141216,0.2652375358914122,0.01057251814491328
37,journal_jcr_cls,GradientBoostingClassifier,name,all,openai__,0.621882888959621,no_column,all,openai__,0.5913614387508055,all,drop,0.5666112428974291,journal_jcr_cls__name,0.03052145020881547,5.161217524309518,30.648,1000,1.0,3.736,3.704,8129,8.129,265.23753589141216,0.2652375358914122,0.01057251814491328
38,ramen_ratings,GradientBoostingClassifier,Brand,all,lm__BAAI/bge-large-en-v1.5,0.6772983456350553,no_column,all,openai__,0.6767429631273442,all,drop,0.642472409082985,ramen_ratings__Brand,0.0005553825077111441,0.08206697933653084,8.142,308,0.308,1.426,1.407,2924,2.924,359.12552198477033,0.3591255219847703,0.006302667578659368
39,ramen_ratings,GradientBoostingClassifier,Brand,all,openai__,0.6763674146498039,no_column,all,openai__,0.6767429631273442,all,drop,0.642472409082985,ramen_ratings__Brand,-0.0003755484775402884,-0.05549351792367595,8.142,308,0.308,1.426,1.407,2924,2.924,359.12552198477033,0.3591255219847703,0.006302667578659368
