dataset,encoder_name,match_score,recall,precision,f1
SoccerTournament,lm__llmrails/ember-v1,0.8,0.7137931034482758,0.9452054794520548,0.8133595284872299
SoccerTournament,lm__llmrails/ember-v1,0.7,0.8379310344827586,0.9135338345864662,0.8741007194244604
SoccerTournament,lm__llmrails/ember-v1,0.6,0.8758620689655172,0.8758620689655172,0.8758620689655172
SoccerTournament,lm__llmrails/ember-v1,0.5,0.8758620689655172,0.8758620689655172,0.8758620689655172
SoccerTournament,lm__llmrails/ember-v1,0.4,0.8758620689655172,0.8758620689655172,0.8758620689655172
SoccerTournament,lm__llmrails/ember-v1,0.3,0.8758620689655172,0.8758620689655172,0.8758620689655172
SoccerTournament,lm__thenlper/gte-large,0.9,0.5689655172413793,0.9322033898305084,0.7066381156316917
SoccerTournament,lm__thenlper/gte-large,0.8,0.7724137931034483,0.9333333333333333,0.8452830188679245
SoccerTournament,lm__thenlper/gte-large,0.7,0.8586206896551725,0.9222222222222223,0.8892857142857143
SoccerTournament,lm__thenlper/gte-large,0.6,0.9,0.9,0.9
SoccerTournament,lm__thenlper/gte-large,0.5,0.9,0.9,0.9
SoccerTournament,lm__thenlper/gte-large,0.4,0.9,0.9,0.9
SoccerTournament,lm__thenlper/gte-large,0.3,0.9,0.9,0.9
SoccerTournament,lm__thenlper/gte-base,0.9,0.4103448275862069,0.967479674796748,0.576271186440678
SoccerTournament,lm__thenlper/gte-base,0.8,0.7655172413793103,0.9367088607594937,0.842504743833017
SoccerTournament,lm__thenlper/gte-base,0.7,0.8655172413793103,0.9330855018587361,0.8980322003577816
SoccerTournament,lm__thenlper/gte-base,0.6,0.903448275862069,0.903448275862069,0.903448275862069
SoccerTournament,lm__thenlper/gte-base,0.5,0.903448275862069,0.903448275862069,0.903448275862069
SoccerTournament,lm__thenlper/gte-base,0.4,0.903448275862069,0.903448275862069,0.903448275862069
SoccerTournament,lm__thenlper/gte-base,0.3,0.903448275862069,0.903448275862069,0.903448275862069
SoccerTournament,lm__intfloat/e5-large-v2,0.9,0.5310344827586206,0.927710843373494,0.6754385964912281
SoccerTournament,lm__intfloat/e5-large-v2,0.8,0.7310344827586207,0.9298245614035088,0.8185328185328187
SoccerTournament,lm__intfloat/e5-large-v2,0.7,0.8689655172413793,0.9230769230769231,0.8952042628774423
SoccerTournament,lm__intfloat/e5-large-v2,0.6,0.896551724137931,0.9027777777777778,0.8996539792387545
SoccerTournament,lm__intfloat/e5-large-v2,0.5,0.903448275862069,0.903448275862069,0.903448275862069
SoccerTournament,lm__intfloat/e5-large-v2,0.4,0.903448275862069,0.903448275862069,0.903448275862069
SoccerTournament,lm__intfloat/e5-large-v2,0.3,0.903448275862069,0.903448275862069,0.903448275862069
SoccerTournament,lm__BAAI/bge-small-en-v1.5,0.9,0.5344827586206896,0.9281437125748503,0.6783369803063457
SoccerTournament,lm__BAAI/bge-small-en-v1.5,0.8,0.7551724137931034,0.9358974358974359,0.8358778625954197
SoccerTournament,lm__BAAI/bge-small-en-v1.5,0.7,0.8689655172413793,0.9230769230769231,0.8952042628774423
SoccerTournament,lm__BAAI/bge-small-en-v1.5,0.6,0.8793103448275862,0.8793103448275862,0.8793103448275863
SoccerTournament,lm__BAAI/bge-small-en-v1.5,0.5,0.8793103448275862,0.8793103448275862,0.8793103448275863
SoccerTournament,lm__BAAI/bge-small-en-v1.5,0.4,0.8793103448275862,0.8793103448275862,0.8793103448275863
SoccerTournament,lm__BAAI/bge-small-en-v1.5,0.3,0.8793103448275862,0.8793103448275862,0.8793103448275863
SoccerTournament,lm__intfloat/e5-base-v2,0.9,0.4827586206896552,0.9210526315789473,0.6334841628959276
SoccerTournament,lm__intfloat/e5-base-v2,0.8,0.7620689655172413,0.9364406779661016,0.8403041825095057
SoccerTournament,lm__intfloat/e5-base-v2,0.7,0.8827586206896552,0.9175627240143369,0.8998242530755711
SoccerTournament,lm__intfloat/e5-base-v2,0.6,0.906896551724138,0.906896551724138,0.906896551724138
SoccerTournament,lm__intfloat/e5-base-v2,0.5,0.906896551724138,0.906896551724138,0.906896551724138
SoccerTournament,lm__intfloat/e5-base-v2,0.4,0.906896551724138,0.906896551724138,0.906896551724138
SoccerTournament,lm__intfloat/e5-base-v2,0.3,0.906896551724138,0.906896551724138,0.906896551724138
SoccerTournament,lm__intfloat/e5-large,0.9,0.5517241379310345,0.9302325581395349,0.6926406926406926
SoccerTournament,lm__intfloat/e5-large,0.8,0.7689655172413793,0.9369747899159664,0.8446969696969696
SoccerTournament,lm__intfloat/e5-large,0.7,0.8793103448275862,0.9205776173285198,0.8994708994708995
SoccerTournament,lm__intfloat/e5-large,0.6,0.9,0.9094076655052264,0.9046793760831889
SoccerTournament,lm__intfloat/e5-large,0.5,0.903448275862069,0.903448275862069,0.903448275862069
SoccerTournament,lm__intfloat/e5-large,0.4,0.903448275862069,0.903448275862069,0.903448275862069
SoccerTournament,lm__intfloat/e5-large,0.3,0.903448275862069,0.903448275862069,0.903448275862069
SoccerTournament,lm__intfloat/e5-base,0.9,0.5275862068965518,0.9329268292682927,0.6740088105726872
SoccerTournament,lm__intfloat/e5-base,0.8,0.7275862068965517,0.9295154185022027,0.816247582205029
SoccerTournament,lm__intfloat/e5-base,0.7,0.8724137931034482,0.92,0.8955752212389381
SoccerTournament,lm__intfloat/e5-base,0.6,0.896551724137931,0.896551724137931,0.896551724137931
SoccerTournament,lm__intfloat/e5-base,0.5,0.896551724137931,0.896551724137931,0.896551724137931
